item,quantity,kind,link,basis,mass_g,status,file
left_yaw2roll,1,printed,left_yaw2roll,PLA solid-equivalent volume; infill and material not frozen,5.66,Rev A digital design,models/step/left_yaw2roll.step
left_hip,1,printed,left_hip,PLA solid-equivalent volume; infill and material not frozen,18.47,Rev A digital design,models/step/left_hip.step
left_thigh,1,printed,left_thigh,PLA solid-equivalent volume; infill and material not frozen,18.24,Rev A digital design,models/step/left_thigh.step
left_shin,1,printed,left_shin,PLA solid-equivalent volume; infill and material not frozen,10.8,Rev A digital design,models/step/left_shin.step
left_foot,1,printed,left_foot,PLA solid-equivalent volume; infill and material not frozen,36.83,Rev A digital design,models/step/left_foot.step
right_yaw2roll,1,printed,right_yaw2roll,PLA solid-equivalent volume; infill and material not frozen,5.66,Rev A digital design,models/step/right_yaw2roll.step
right_hip,1,printed,right_hip,PLA solid-equivalent volume; infill and material not frozen,18.47,Rev A digital design,models/step/right_hip.step
right_thigh,1,printed,right_thigh,PLA solid-equivalent volume; infill and material not frozen,18.24,Rev A digital design,models/step/right_thigh.step
right_shin,1,printed,right_shin,PLA solid-equivalent volume; infill and material not frozen,10.8,Rev A digital design,models/step/right_shin.step
right_foot,1,printed,right_foot,PLA solid-equivalent volume; infill and material not frozen,36.83,Rev A digital design,models/step/right_foot.step
chassis,1,printed,trunk,PLA solid-equivalent volume; infill and material not frozen,41.85,Rev A digital design,models/step/chassis.step
torso_shell,1,printed,trunk,PLA solid-equivalent volume; infill and material not frozen,32.57,Rev A digital design,models/step/torso_shell.step
tail_cover,1,printed,trunk,PLA solid-equivalent volume; infill and material not frozen,32.72,Rev A digital design,models/step/tail_cover.step
neck_link,1,printed,neck,PLA solid-equivalent volume; infill and material not frozen,14.07,Rev A digital design,models/step/neck_link.step
neck_sleeve,1,printed,neck,PLA solid-equivalent volume; infill and material not frozen,12.58,Rev A digital design,models/step/neck_sleeve.step
head_base,1,printed,head_base,PLA solid-equivalent volume; infill and material not frozen,3.62,Rev A digital design,models/step/head_base.step
head_yoke,1,printed,head_yoke,PLA solid-equivalent volume; infill and material not frozen,20.93,Rev A digital design,models/step/head_yoke.step
head_frame,1,printed,head,PLA solid-equivalent volume; infill and material not frozen,16.85,Rev A digital design,models/step/head_frame.step
skull,1,printed,head,PLA solid-equivalent volume; infill and material not frozen,57.82,Rev A digital design,models/step/skull.step
jaw_beak,1,printed,jaw,PLA solid-equivalent volume; infill and material not frozen,13.62,Rev A digital design,models/step/jaw_beak.step
servo_left_hip_yaw,1,actuator,trunk,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_left_hip_yaw.stl
servo_left_hip_roll,1,actuator,left_yaw2roll,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_left_hip_roll.stl
servo_left_hip_pitch,1,actuator,left_thigh,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_left_hip_pitch.stl
servo_left_knee,1,actuator,left_shin,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_left_knee.stl
servo_left_ankle,1,actuator,left_shin,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_left_ankle.stl
servo_neck_pitch,1,actuator,trunk,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_neck_pitch.stl
