part,quantity,material_basis,mass_g,status,file
torso_lower,1,PLA volume estimate; material not frozen,61.65,P0 prototype,models/q4/step/torso_lower.step
torso_upper,1,PLA volume estimate; material not frozen,33.02,P0 prototype,models/q4/step/torso_upper.step
neck_cradle,1,PLA volume estimate; material not frozen,10.53,P0 prototype,models/q4/step/neck_cradle.step
eye_left,1,PLA volume estimate; material not frozen,4.89,P0 prototype,models/q4/step/eye_left.step
eye_right,1,PLA volume estimate; material not frozen,4.89,P0 prototype,models/q4/step/eye_right.step
skull,1,PLA volume estimate; material not frozen,49.4,P0 prototype,models/q4/step/skull.step
jaw,1,PLA volume estimate; material not frozen,39.47,P0 prototype,models/q4/step/jaw.step
tail_left,1,PLA volume estimate; material not frozen,13.31,P0 prototype,models/q4/step/tail_left.step
tail_right,1,PLA volume estimate; material not frozen,13.31,P0 prototype,models/q4/step/tail_right.step
front_hindleg_left,1,PLA volume estimate; material not frozen,49.57,P0 prototype,models/q4/step/front_hindleg_left.step
front_foot_left,1,PLA volume estimate; material not frozen,32.62,P0 prototype,models/q4/step/front_foot_left.step
front_hindleg_right,1,PLA volume estimate; material not frozen,49.57,P0 prototype,models/q4/step/front_hindleg_right.step
front_foot_right,1,PLA volume estimate; material not frozen,32.62,P0 prototype,models/q4/step/front_foot_right.step
rear_hindleg_left,1,PLA volume estimate; material not frozen,49.57,P0 prototype,models/q4/step/rear_hindleg_left.step
rear_foot_left,1,PLA volume estimate; material not frozen,32.62,P0 prototype,models/q4/step/rear_foot_left.step
rear_hindleg_right,1,PLA volume estimate; material not frozen,49.57,P0 prototype,models/q4/step/rear_hindleg_right.step
rear_foot_right,1,PLA volume estimate; material not frozen,32.62,P0 prototype,models/q4/step/rear_foot_right.step
side_rail_left,1,PLA volume estimate; material not frozen,10.29,P0 prototype,models/q4/step/side_rail_left.step
side_rail_right,1,PLA volume estimate; material not frozen,10.29,P0 prototype,models/q4/step/side_rail_right.step
M3 screws and nuts,TBD,Purchased; length/retention audit pending,,Not procurement-ready,docs/ASSEMBLY.md
Actuators/electronics,TBD,Not integrated,,Architecture decision required,docs/COST.md
